"CÓD. ESTAÇÃO","OXIGÊNIO DISSOLVIDO","DEMANDA BIOQUÍMICA DE OXIGÊNIO","FÓSFORO TOTAL","NITROGÊNIO AMONIACAL","TURBIDEZ","ESCHERICHIA COLI"
"85400010",8.99,1,0.005,0.087,4.6,959
"85400010",8.14,1,0.063,0.081,13.5,137.6
"85400010",7.3,1,0.053,0.068,4.45,33.2
"85427100",9.67,2,0.094,0.056,9.4,23.1
"85427100",8.55,2,0.061,0.138,25.1,224.7
"85427100",7.81,1,NA,0.081,10.6,90.6
"85427100",7.98,1,0.076,0.049,7.79,34.1
"85427100",9.13,1,0.055,0.091,22.61,913.9
"85427100",8.68,1,0.034,0.032,13.95,45.5
"85427100",7.39,1,0.134,0.143,41,NA
"85427100",8.07,1,0.005,0.283,8.7,68.9
"85427100",9.05,2,0.036,0.112,5,114.5
"85427100",8.25,1,0.05,0.032,15.5,488.4
"85427100",7.26,1,0.046,0.032,4.97,57.3
"85642010",9.22,2,0.043,0.123,16,169
"85642010",8.16,1,0.097,0.068,35.77,410.6
"85642010",6.79,NA,0.075,0.032,30,98.8
"85651020",9.09,1,0.043,0.086,21,1039
"85651020",8.19,2,0.114,0.133,49.32,1203.3
"85651020",7.75,2,0.101,0.303,23.5,206.4
"85658000",9.96,1,0.058,0.0958,100,4352
"85658000",8.93,1,0.125,0.032,34.75,1019
"85658000",7.7,2,0.155,0.295,34.12,85.7
"85662000",9.34,2,0.049,0.07,37.5,3076
"85662000",8.15,1,0.196,0.055,72.6,5794
"85662000",6.58,1,0.23,0.321,46,816.4
"85930000",10.4,1,0.07,0.01,8.7,9.8
"85930000",7.01,2,0.099,0.183,74.9,143.9
"85930000",7.19,2,NA,0.081,19.18,195
"85930000",8.22,1,0.081,0.207,16.25,6.3
"85930000",10.15,1,0.084,0.032,35.06,143.9
"85930000",7.84,2,0.105,0.135,42.03,33.6
"85930000",7.96,1,0.113,0.163,34.02,165.8
"85930000",8.11,1,0.063,0.361,18.85,18.9
"85930000",10.27,1,0.043,0.156,23,20
"85930000",7.99,1,0.121,0.101,41.5,31
"85930000",8,1,0.084,0.243,14.65,25.3
"87390060",9.75,1,0.062,0.086,12.8,146
"87390060",7.78,1,0.04,0.032,24.75,686.7
"87390060",7.25,1,0.104,0.243,24.75,404
"87510060",9.61,1,0.01,0.095,14,836
"87510060",9.3,1,0.571,0.127,310,NA
"87510060",8.22,1,0.039,0.12,6.75,488.4
